STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/1/2000,0.27,,,40,43,37
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/2/2000,0,,,25,45,37
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/3/2000,0.28,,,42,47,36
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/4/2000,0.3,,,46,50,42
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/5/2000,0,,,41,44,37
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/6/2000,0.03,,,37,41,33
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/7/2000,0.21,,,43,46,40
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/8/2000,0.32,,,41,46,36
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/9/2000,0.19,,,40,44,35
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/10/2000,0.19,,,35,36,34
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/11/2000,0.06,,,36,37,34
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/12/2000,0.21,,,35,38,32
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/13/2000,0.1,,,38,40,36
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/14/2000,0.29,,,41,44,37
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/15/2000,0,,,39,43,34
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/16/2000,0.28,,,43,50,36
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/17/2000,0.01,,,42,49,35
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/18/2000,0,,,36,41,30
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/19/2000,0.09,,,37,44,29
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/20/2000,0.14,,,41,47,35
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/21/2000,0.19,,,44,48,39
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/22/2000,0.02,,,42,46,37
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/23/2000,0,,,40,46,33
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/24/2000,0,,,42,51,33
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/25/2000,0.1,,,43,48,38
