"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-01-01","0.22","0.0","0.0",,"52","44"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-01-02","0.19","0.0","0.0",,"46","37"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-01-03","0.00","0.0","0.0",,"46","33"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-01-04","0.13","0.0","0.0",,"40","34"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-01-05","0.12","0.1","0.0",,"39","30"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-01-06","0.00","0.0","0.0",,"35","26"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-01-07","0.19","2.7","0.0",,"30","24"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-01-08","0.37","4.4","4.0",,"29","26"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-01-09","0.15","1.4","7.0",,"34","26"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-01-10","0.00","0.0","8.0",,"38","28"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-01-11","0.51","0.2","6.0",,"45","31"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-01-12","0.69","0.0","2.0",,"50","35"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-01-13","0.16","0.0","0.0",,"40","34"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-01-14","0.20","0.0","0.0",,"43","38"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-01-15","0.17","0.0","0.0",,"45","38"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-01-16","0.57","0.0","0.0",,"44","40"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-01-17","0.05","0.0","0.0",,"41","31"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-01-18","0.00","0.0","0.0",,"38","25"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-01-19","0.00","0.0","0.0",,"44","26"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-01-20","0.00","0.0","0.0",,"40","30"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-01-21","0.00","0.0","0.0",,"47","32"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-01-22","0.00","0.0","0.0",,"48","32"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-01-23","0.00","0.0","0.0",,"43","31"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-01-24","0.00","0.0","0.0",,"43","33"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-01-25","0.06","0.0","0.0",,"40","32"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-01-26","0.00","0.0","0.0",,"33","21"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-01-27","0.00","0.0","0.0",,"29","19"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-01-28","0.00","0.0","0.0",,"29","19"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-01-29","0.00","0.0","0.0",,"31","15"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-01-30","0.00","0.0","0.0",,"38","19"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-01-31","0.31","0.0","0.0",,"38","33"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-02-01","0.37","0.0","0.0",,"54","36"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-02-02","0.80","0.0","0.0",,"51","44"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-02-03","0.11","0.0","0.0",,"52","41"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-02-04","0.00","0.0","0.0",,"51","39"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-02-05","0.23","0.0","0.0",,"52","41"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-02-06","0.46","0.0","0.0",,"48","44"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-02-07","0.00","0.0","0.0",,"50","40"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-02-08","0.00","0.0","0.0",,"47","37"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-02-09","0.00","0.0","0.0",,"47","32"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-02-10","0.00","0.0","0.0",,"46","31"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-02-11","0.00","0.0","0.0",,"43","29"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-02-12","0.00","0.0","0.0",,"42","29"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-02-13","0.00","0.0","0.0",,"42","33"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-02-14","0.01","0.2","0.0",,"39","28"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-02-15","0.20","2.3","1.0",,"37","27"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-02-16","0.00","0.0","1.0",,"46","32"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-02-17","0.36","0.0","0.0",,"47","36"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-02-18","0.31","0.0","0.0",,"50","46"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-02-19","0.16","0.0","0.0",,"51","43"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-02-20","0.18","0.0","0.0",,"47","39"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-02-21","0.00","0.0","0.0",,"46","31"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-02-22","0.00","0.0","0.0",,"53","32"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-02-23","0.00","0.0","0.0",,"56","34"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-02-24","0.06","0.0","0.0",,"59","47"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-02-25","0.37","0.0","0.0",,"57","45"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-02-26","0.72","0.0","0.0",,"57","49"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-02-27","0.38","0.0","0.0",,"57","51"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-02-28","0.32","0.0","0.0",,"53","44"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-02-29","0.00","0.0","0.0",,"55","43"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-03-01","0.00","0.0","0.0",,"61","42"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-03-02","0.00","0.0","0.0",,"59","45"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-03-03","0.26","0.0","0.0",,"47","44"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-03-04","0.05","0.0","0.0",,"51","41"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-03-05","0.00","0.0","0.0",,"46","37"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-03-06","0.00","0.0","0.0",,"48","31"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-03-07","0.01","0.0","0.0",,"49","41"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-03-08","0.01","0.0","0.0",,"51","40"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-03-09","0.01","0.0","0.0",,"46","42"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-03-10","0.05","0.0","0.0",,"50","40"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-03-11","0.11","0.0","0.0",,"46","36"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-03-12","0.17","0.0","0.0",,"45","37"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-03-13","0.33","0.0","0.0",,"47","37"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-03-14","0.17","0.1","0.0",,"43","34"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-03-15","0.00","0.0","0.0",,"45","34"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-03-16","0.07","0.0","0.0",,"47","33"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-03-17","0.36","0.0","0.0",,"51","38"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-03-18","0.00","0.0","0.0",,"47","37"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-03-19","0.20","0.0","0.0",,"50","43"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-03-20","0.10","0.0","0.0",,"51","42"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-03-21","0.00","0.0","0.0",,"51","42"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-03-22","0.00","0.0","0.0",,"52","40"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-03-23","0.00","0.0","0.0",,"53","36"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-03-24","0.00","0.0","0.0",,"51","38"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-03-25","0.00","0.0","0.0",,"55","34"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-03-26","0.02","0.0","0.0",,"51","39"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-03-27","0.00","0.0","0.0",,"53","37"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-03-28","0.00","0.0","0.0",,"53","42"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-03-29","0.00","0.0","0.0",,"53","38"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-03-30","0.00","0.0","0.0",,"51","37"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-03-31","0.18","0.0","0.0",,"47","38"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-04-01","0.00","0.0","0.0",,"56","41"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-04-02","0.00","0.0","0.0",,"60","35"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-04-03","0.00","0.0","0.0",,"60","38"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-04-04","0.02","0.0","0.0",,"60","45"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-04-05","0.35","0.0","0.0",,"56","42"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-04-06","0.25","0.0","0.0",,"48","35"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-04-07","0.00","0.0","0.0",,"52","36"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-04-08","0.35","0.0","0.0",,"58","41"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-04-09","0.35","0.0","0.0",,"52","40"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-04-10","0.00","0.0","0.0",,"55","39"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-04-11","0.00","0.0","0.0",,"64","38"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-04-12","0.00","0.0","0.0",,"76","45"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-04-13","0.00","0.0","0.0",,"75","54"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-04-14","0.36","0.0","0.0",,"59","47"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-04-15","0.00","0.0","0.0",,"57","44"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-04-16","0.00","0.0","0.0",,"67","38"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-04-17","0.03","0.0","0.0",,"57","45"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","1980-04-18","0.04","0.0","0.0",,"63","51"
